AI COMMUNICATIONS
AI MAGAZINE
ARTIFICIAL INTELLIGENCE
ARTIFICIAL INTELLIGENCE REVIEW
COMPUTATIONAL INTELLIGENCE
COMPUTER SPEECH AND LANGUAGE
COMPUTING AND INFORMATICS
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING
INTERNATIONAL JOURNAL OF COMPUTER VISION
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH
JOURNAL OF AUTOMATED REASONING
KNOWLEDGE ENGINEERING REVIEW
MACHINE LEARNING
MINDS AND MACHINES
NEURAL PROCESSING LETTERS
NEUROCOMPUTING
PATTERN ANALYSIS AND APPLICATIONS
PATTERN RECOGNITION LETTERS
ADVANCED ENGINEERING INFORMATICS
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE
APPLIED ARTIFICIAL INTELLIGENCE
ARTIFICIAL LIFE
AUTONOMOUS ROBOTS
COMPUTER VISION AND IMAGE UNDERSTANDING
CONNECTION SCIENCE
DATA MINING AND KNOWLEDGE DISCOVERY
EVOLUTIONARY COMPUTATION
EXPERT SYSTEMS
IEEE INTELLIGENT SYSTEMS
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION
IEEE TRANSACTIONS ON FUZZY SYSTEMS
IEEE TRANSACTIONS ON IMAGE PROCESSING
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE
INTELLIGENT AUTOMATION AND SOFT COMPUTING
JOURNAL OF HEURISTICS
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS
JOURNAL OF INTELLIGENT MANUFACTURING
JOURNAL OF MACHINE LEARNING RESEARCH
NEURAL COMPUTATION
NEURAL NETWORKS
PATTERN RECOGNITION
ARTIFICIAL INTELLIGENCE IN MEDICINE
DECISION SUPPORT SYSTEMS
EXPERT SYSTEMS WITH APPLICATIONS
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL
JOURNAL OF MATHEMATICAL IMAGING AND VISION
MACHINE VISION AND APPLICATIONS
ROBOTICS AND AUTONOMOUS SYSTEMS
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE
MECHATRONICS
MEDICAL IMAGE ANALYSIS
IMAGE AND VISION COMPUTING
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS

ACM Transactions on Asian and Low-Resource Language Information Processing
ACM Transactions on Autonomous and Adaptive Systems
ACM Transactions on Intelligent Systems and Technology
ADAPTIVE BEHAVIOR
Advances in Electrical and Computer Engineering
APPLIED INTELLIGENCE
Applied Ontology
APPLIED SOFT COMPUTING
Biologically Inspired Cognitive Architectures
Cognitive Computation
Cognitive Systems Research
COMPUTATIONAL LINGUISTICS
CONSTRAINTS
Frontiers in Neurorobotics
Fuzzy Optimization and Decision Making
Genetic Programming and Evolvable Machines
IEEE Computational Intelligence Magazine
IEEE Transactions on Affective Computing
IEEE Transactions on Autonomous Mental Development
IEEE Transactions on Cognitive and Developmental Systems
IEEE Transactions on Computational Intelligence and AI in Games
IEEE Transactions on Cybernetics
IEEE Transactions on Human-Machine Systems
IEEE Transactions on Neural Networks and Learning Systems
IET Biometrics
IET Computer Vision
IET Image Processing
Information Fusion
Information Technology and Control
Intelligent Data Analysis
International Arab Journal of Information Technology
International Journal of Applied Mathematics and Computer Science
International Journal of Bio-Inspired Computation
International Journal of Computational Intelligence Systems
International Journal of Fuzzy Systems
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING
International Journal of Machine Learning and Cybernetics
International Journal of Neural Systems
International Journal on Artificial Intelligence Tools
International Journal on Document Analysis and Recognition
International Journal on Semantic Web and Information Systems
Journal of Ambient Intelligence and Humanized Computing
Journal of Ambient Intelligence and Smart Environments
JOURNAL OF CHEMOMETRICS
Journal of Logic Language and Information
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING
Journal of Real-Time Image Processing
Journal of Web Semantics
Journal on Multimodal User Interfaces
KNOWLEDGE AND INFORMATION SYSTEMS
Malaysian Journal of Computer Science
Memetic Computing
Natural Computing
Natural Language Engineering
Neural Network World
Semantic Web
SIAM Journal on Imaging Sciences
SOFT COMPUTING
Statistical Analysis and Data Mining
Swarm and Evolutionary Computation
Swarm Intelligence
Traitement du Signal
Turkish Journal of Electrical Engineering and Computer Sciences
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery
ARTIFICIAL INTELLIGENCE IN ENGINEERING
COMPUTERS AND ARTIFICIAL INTELLIGENCE
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART C-APPLICATIONS AND RE
