CVPR
ICCV
ICML
NIPS
ACL
AAAI
IJCAI
ARTIFICIAL INTELLIGENCE
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE
INTERNATIONAL JOURNAL OF COMPUTER VISION
JOURNAL OF MACHINE LEARNING RESEARCH
