Management Science
Operations Research
European Journal of Operational Research
Journal of the Operational Research Society
Annals of Operations Research
Operations Research Letters
Interfaces
Computers and Operations Research
Decision Sciences
IIE Transactions
International Journal of Operations and Production Management
International Journal of Production Research
Journal of Operations Management
Production and Operations Management Journal
Manufacturing & Service Operations Management
Naval Research Logistics
INFORMS Journal on Computing
Mathematics of Operations Research
